term,MARD,MOD,SIDD,SIRD
study_jhs,"0.4 (0.28, 0.57)","1.54 (1.14, 2.09)","0.33 (0.14, 0.76)","0.02 (0, 0.16)"
study_dppos,"6.84 (6.43, 7.27)","86.13 (73.6, 100.79)","0.75 (0.51, 1.13)","3.9 (3.44, 4.42)"
raceNH Black,"1.09 (0.99, 1.19)","1.29 (1.2, 1.39)","0.2 (0.13, 0.29)","0.55 (0.47, 0.65)"
raceNH Other,"1.26 (1.11, 1.43)","1.02 (0.9, 1.16)",NA,"0.72 (0.54, 0.98)"
raceNH White,"0.99 (0.91, 1.07)","0.98 (0.91, 1.04)","0.06 (0.04, 0.09)","0.41 (0.36, 0.47)"
raceOther,"0.78 (0.59, 1.03)","1.49 (0.47, 4.67)","0.09 (0.03, 0.29)","3.87 (2.94, 5.11)"
baseline_hba1c,"1.4 (1.3, 1.5)","1.39 (1.31, 1.47)","1.52 (1.17, 1.98)","1.52 (1.28, 1.81)"
baseline_uric_acid,"1.1 (1.07, 1.14)","1.1 (1.07, 1.14)","0.85 (0.72, 1)","1.11 (1.04, 1.18)"
baseline_wc,"0.97 (0.96, 0.97)","1.02 (1.02, 1.02)","1.03 (1.01, 1.04)","1.04 (1.03, 1.04)"
baseline_glucosef,"1.04 (1.03, 1.04)","1.03 (1.03, 1.04)","1.03 (1.02, 1.05)","1 (0.99, 1)"
baseline_insulinf,"0.99 (0.99, 1)","1 (1, 1)","0.99 (0.97, 1.01)","1.01 (1.01, 1.01)"
baseline_alt,"1.02 (1.01, 1.02)","1 (1, 1.01)","0.99 (0.98, 1.01)","1.02 (1.01, 1.02)"
female,"0.9 (0.85, 0.95)","1.2 (1.14, 1.26)","0.3 (0.22, 0.4)","0.88 (0.79, 0.98)"
change_hba1c,"1.23 (1.16, 1.3)","1.17 (1.12, 1.23)","1.18 (0.96, 1.45)","1.29 (1.13, 1.46)"
change_uric_acid,"1.05 (1.02, 1.08)","1.06 (1.03, 1.08)","0.96 (0.83, 1.11)","1.04 (0.99, 1.1)"
change_wc,"0.99 (0.99, 0.99)","1.01 (1.01, 1.01)","1.02 (1, 1.04)","1.01 (1.01, 1.02)"
change_glucosef,"1.02 (1.01, 1.02)","1.02 (1.01, 1.02)","1.02 (1.01, 1.03)","1 (1, 1.01)"
change_insulinf,"1 (0.99, 1)","1 (1, 1)","0.99 (0.97, 1)","1.01 (1.01, 1.01)"
change_alt,"1.01 (1.01, 1.01)","1 (1, 1)","1 (0.99, 1.01)","1.01 (1.01, 1.01)"
