term,MARD,MOD,SIDD,SIRD
study_jhs,"0.31 (0.22, 0.44)","1.2 (0.89, 1.63)","0.28 (0.12, 0.64)","0.02 (0, 0.17)"
study_dppos,"6.92 (6.52, 7.35)","96.82 (82.79, 113.23)","0.87 (0.59, 1.28)","4.09 (3.62, 4.62)"
raceNH Black,"1.1 (1, 1.2)","1.32 (1.23, 1.42)","0.21 (0.14, 0.31)","0.55 (0.47, 0.64)"
raceNH Other,"1.32 (1.16, 1.5)","1.02 (0.9, 1.16)",NA,"0.68 (0.5, 0.91)"
raceNH White,"0.99 (0.91, 1.07)","0.97 (0.91, 1.04)","0.07 (0.05, 0.1)","0.4 (0.35, 0.45)"
raceOther,"0.74 (0.56, 0.98)","1.31 (0.42, 4.1)","0.09 (0.03, 0.3)","3.6 (2.73, 4.74)"
hba1c,"1.32 (1.25, 1.4)","1.28 (1.22, 1.33)","1.22 (1, 1.5)","1.34 (1.18, 1.52)"
uric_acid,"1.07 (1.05, 1.1)","1.1 (1.07, 1.12)","0.94 (0.82, 1.08)","1.07 (1.02, 1.13)"
wc,"0.97 (0.97, 0.98)","1.02 (1.02, 1.02)","1.03 (1.01, 1.04)","1.04 (1.03, 1.04)"
glucosef,"1.03 (1.02, 1.03)","1.02 (1.02, 1.02)","1.02 (1.01, 1.03)","1 (1, 1.01)"
insulinf,"1 (0.99, 1)","1 (1, 1)","0.99 (0.97, 1)","1.01 (1.01, 1.01)"
alt,"1.01 (1.01, 1.01)","1 (1, 1)","1 (0.98, 1.01)","1.01 (1.01, 1.01)"
female,"0.88 (0.83, 0.93)","1.16 (1.1, 1.22)","0.31 (0.23, 0.42)","0.85 (0.76, 0.94)"
