subtype,variable,est,value,type,group
MARD,age,mean,63.372809689737,Continuous,NA
MARD,age,sd,7.718108180861515,Continuous,NA
MARD,age,median,63.555,Continuous,NA
MARD,age,q25,57.58061643835616,Continuous,NA
MARD,age,q75,69.01,Continuous,NA
MARD,age,min,37.5,Continuous,NA
MARD,age,max,100,Continuous,NA
MARD,age,freq,5496,Continuous,NA
MARD,age,missing,0,Continuous,NA
MARD,dmagediag,mean,67.97625720324619,Continuous,NA
MARD,dmagediag,sd,7.3382335590911945,Continuous,NA
MARD,dmagediag,median,68.01369863013699,Continuous,NA
MARD,dmagediag,q25,62.0027397260274,Continuous,NA
MARD,dmagediag,q75,73.0027397260274,Continuous,NA
MARD,dmagediag,min,48,Continuous,NA
MARD,dmagediag,max,100,Continuous,NA
MARD,dmagediag,freq,5496,Continuous,NA
MARD,dmagediag,missing,0,Continuous,NA
MARD,bmi,mean,28.85791815778588,Continuous,NA
MARD,bmi,sd,3.635100094225548,Continuous,NA
MARD,bmi,median,28.336468691212048,Continuous,NA
MARD,bmi,q25,26.24925245427005,Continuous,NA
MARD,bmi,q75,31.184261345359097,Continuous,NA
MARD,bmi,min,18.423446531,Continuous,NA
MARD,bmi,max,65,Continuous,NA
MARD,bmi,freq,5495,Continuous,NA
MARD,bmi,missing,1,Continuous,NA
MARD,hba1c,mean,5.898474521259331,Continuous,NA
MARD,hba1c,sd,0.47166561394683393,Continuous,NA
MARD,hba1c,median,5.9,Continuous,NA
MARD,hba1c,q25,5.6,Continuous,NA
MARD,hba1c,q75,6.2,Continuous,NA
MARD,hba1c,min,4.2,Continuous,NA
MARD,hba1c,max,7.9,Continuous,NA
MARD,hba1c,freq,3081,Continuous,NA
MARD,hba1c,missing,2415,Continuous,NA
MARD,homa2b,mean,117.49337979094076,Continuous,NA
MARD,homa2b,sd,42.55265511478394,Continuous,NA
MARD,homa2b,median,111.6,Continuous,NA
MARD,homa2b,q25,87.5,Continuous,NA
MARD,homa2b,q75,140.25,Continuous,NA
MARD,homa2b,min,23.4,Continuous,NA
MARD,homa2b,max,300,Continuous,NA
MARD,homa2b,freq,2583,Continuous,NA
MARD,homa2b,missing,2913,Continuous,NA
MARD,homa2ir,mean,2.3521590078205197,Continuous,NA
MARD,homa2ir,sd,1.2561311056011022,Continuous,NA
MARD,homa2ir,median,2.092050209205021,Continuous,NA
MARD,homa2ir,q25,1.4285743440292735,Continuous,NA
MARD,homa2ir,q75,3.0030030030030033,Continuous,NA
MARD,homa2ir,min,0.37064492216456635,Continuous,NA
MARD,homa2ir,max,7.575757575757576,Continuous,NA
MARD,homa2ir,freq,2583,Continuous,NA
MARD,homa2ir,missing,2913,Continuous,NA
MARD,sbp,mean,124.53504289702045,Continuous,NA
MARD,sbp,sd,16.017988881158594,Continuous,NA
MARD,sbp,median,123,Continuous,NA
MARD,sbp,q25,113,Continuous,NA
MARD,sbp,q75,134,Continuous,NA
MARD,sbp,min,70,Continuous,NA
MARD,sbp,max,210,Continuous,NA
MARD,sbp,freq,5493,Continuous,NA
MARD,sbp,missing,3,Continuous,NA
MARD,dbp,mean,74.2642770332605,Continuous,NA
MARD,dbp,sd,9.317424695359056,Continuous,NA
MARD,dbp,median,74,Continuous,NA
MARD,dbp,q25,69,Continuous,NA
MARD,dbp,q75,80,Continuous,NA
MARD,dbp,min,41,Continuous,NA
MARD,dbp,max,130,Continuous,NA
MARD,dbp,freq,5492,Continuous,NA
MARD,dbp,missing,4,Continuous,NA
MARD,ldlc,mean,117.18669595230624,Continuous,NA
MARD,ldlc,sd,32.9997427937454,Continuous,NA
MARD,ldlc,median,115,Continuous,NA
MARD,ldlc,q25,94,Continuous,NA
MARD,ldlc,q75,138,Continuous,NA
MARD,ldlc,min,30,Continuous,NA
MARD,ldlc,max,244,Continuous,NA
MARD,ldlc,freq,3187,Continuous,NA
MARD,ldlc,missing,2309,Continuous,NA
MARD,hdlc,mean,50.50673347948638,Continuous,NA
MARD,hdlc,sd,13.239528718430655,Continuous,NA
MARD,hdlc,median,49,Continuous,NA
MARD,hdlc,q25,41,Continuous,NA
MARD,hdlc,q75,58,Continuous,NA
MARD,hdlc,min,16,Continuous,NA
MARD,hdlc,max,100,Continuous,NA
MARD,hdlc,freq,3193,Continuous,NA
MARD,hdlc,missing,2303,Continuous,NA
MARD,insulinf,mean,20.706480137509537,Continuous,NA
MARD,insulinf,sd,11.738487953816913,Continuous,NA
MARD,insulinf,median,18.2,Continuous,NA
MARD,insulinf,q25,12.4,Continuous,NA
MARD,insulinf,q75,26.075000000000003,Continuous,NA
MARD,insulinf,min,2,Continuous,NA
MARD,insulinf,max,100,Continuous,NA
MARD,insulinf,freq,2618,Continuous,NA
MARD,insulinf,missing,2878,Continuous,NA
MARD,glucosef,mean,107.75503294289898,Continuous,NA
MARD,glucosef,sd,11.00488601979296,Continuous,NA
MARD,glucosef,median,107,Continuous,NA
MARD,glucosef,q25,100,Continuous,NA
MARD,glucosef,q75,115,Continuous,NA
MARD,glucosef,min,72,Continuous,NA
MARD,glucosef,max,150,Continuous,NA
MARD,glucosef,freq,5464,Continuous,NA
MARD,glucosef,missing,32,Continuous,NA
MARD,egfr,mean,80.46565284640813,Continuous,NA
MARD,egfr,sd,21.29729913897097,Continuous,NA
MARD,egfr,median,77.89877584,Continuous,NA
MARD,egfr,q25,68.89022089425,Continuous,NA
MARD,egfr,q75,93.75018641254242,Continuous,NA
MARD,egfr,min,17.896819674,Continuous,NA
MARD,egfr,max,150,Continuous,NA
MARD,egfr,freq,220,Continuous,NA
MARD,egfr,missing,5276,Continuous,NA
MARD,tgl,mean,132.81835264641404,Continuous,NA
MARD,tgl,sd,63.08429298542419,Continuous,NA
MARD,tgl,median,120,Continuous,NA
MARD,tgl,q25,86,Continuous,NA
MARD,tgl,q75,165,Continuous,NA
MARD,tgl,min,30,Continuous,NA
MARD,tgl,max,300,Continuous,NA
MARD,tgl,freq,3193,Continuous,NA
MARD,tgl,missing,2303,Continuous,NA
MARD,tg_hdl,mean,2.9573614655295515,Continuous,NA
MARD,tg_hdl,sd,1.9833641295570648,Continuous,NA
MARD,tg_hdl,median,2.3962264150943398,Continuous,NA
MARD,tg_hdl,q25,1.5866666666666667,Continuous,NA
MARD,tg_hdl,q75,3.6944444444444446,Continuous,NA
MARD,tg_hdl,min,0.4105263157894737,Continuous,NA
MARD,tg_hdl,max,18.75,Continuous,NA
MARD,tg_hdl,freq,3193,Continuous,NA
MARD,tg_hdl,missing,2303,Continuous,NA
MOD,age,mean,50.03901016691659,Continuous,NA
MOD,age,sd,7.098479960459056,Continuous,NA
MOD,age,median,49.52,Continuous,NA
MOD,age,q25,44.51,Continuous,NA
MOD,age,q75,54.51,Continuous,NA
MOD,age,min,26,Continuous,NA
MOD,age,max,74.53972602739726,Continuous,NA
MOD,age,freq,9053,Continuous,NA
MOD,age,missing,0,Continuous,NA
MOD,dmagediag,mean,54.16335370549988,Continuous,NA
MOD,dmagediag,sd,7.05708795744768,Continuous,NA
MOD,dmagediag,median,54.016438356164386,Continuous,NA
MOD,dmagediag,q25,49.01917808219178,Continuous,NA
MOD,dmagediag,q75,58.967123287671235,Continuous,NA
MOD,dmagediag,min,32,Continuous,NA
MOD,dmagediag,max,74.53972602739726,Continuous,NA
MOD,dmagediag,freq,9053,Continuous,NA
MOD,dmagediag,missing,0,Continuous,NA
MOD,bmi,mean,36.18784688186061,Continuous,NA
MOD,bmi,sd,6.654483976730307,Continuous,NA
MOD,bmi,median,35.3442391175639,Continuous,NA
MOD,bmi,q25,31.41428972864301,Continuous,NA
MOD,bmi,q75,39.80306592760962,Continuous,NA
MOD,bmi,min,19.105325443786985,Continuous,NA
MOD,bmi,max,65,Continuous,NA
MOD,bmi,freq,9052,Continuous,NA
MOD,bmi,missing,1,Continuous,NA
MOD,hba1c,mean,5.926142803173404,Continuous,NA
MOD,hba1c,sd,0.49697019607521703,Continuous,NA
MOD,hba1c,median,5.9,Continuous,NA
MOD,hba1c,q25,5.6,Continuous,NA
MOD,hba1c,q75,6.2,Continuous,NA
MOD,hba1c,min,4,Continuous,NA
MOD,hba1c,max,8.2,Continuous,NA
MOD,hba1c,freq,5294,Continuous,NA
MOD,hba1c,missing,3759,Continuous,NA
MOD,homa2b,mean,145.62215568862274,Continuous,NA
MOD,homa2b,sd,46.848143636924696,Continuous,NA
MOD,homa2b,median,139.14999999999998,Continuous,NA
MOD,homa2b,q25,112.72500000000001,Continuous,NA
MOD,homa2b,q75,173.8,Continuous,NA
MOD,homa2b,min,25.6,Continuous,NA
MOD,homa2b,max,300,Continuous,NA
MOD,homa2b,freq,4342,Continuous,NA
MOD,homa2b,missing,4711,Continuous,NA
MOD,homa2ir,mean,3.228013062670836,Continuous,NA
MOD,homa2ir,sd,1.5011594325216595,Continuous,NA
MOD,homa2ir,median,2.985074626865672,Continuous,NA
MOD,homa2ir,q25,2.11864406779661,Continuous,NA
MOD,homa2ir,q75,4.081632653061225,Continuous,NA
MOD,homa2ir,min,0.35752592062924565,Continuous,NA
MOD,homa2ir,max,8,Continuous,NA
MOD,homa2ir,freq,4342,Continuous,NA
MOD,homa2ir,missing,4711,Continuous,NA
MOD,sbp,mean,121.28781333480761,Continuous,NA
MOD,sbp,sd,14.45019649404328,Continuous,NA
MOD,sbp,median,120,Continuous,NA
MOD,sbp,q25,111,Continuous,NA
MOD,sbp,q75,130,Continuous,NA
MOD,sbp,min,70,Continuous,NA
MOD,sbp,max,201,Continuous,NA
MOD,sbp,freq,9044,Continuous,NA
MOD,sbp,missing,9,Continuous,NA
MOD,dbp,mean,77.52658764558456,Continuous,NA
MOD,dbp,sd,10.114150002990334,Continuous,NA
MOD,dbp,median,77,Continuous,NA
MOD,dbp,q25,70,Continuous,NA
MOD,dbp,q75,83,Continuous,NA
MOD,dbp,min,40,Continuous,NA
