variable,group,Total,NOT2D,MARD,MOD,SIDD,SIRD
age,NA,58.1 (10.7),58.9 (10.8),63.4 (7.7),50 (7.1),51.1 (10.9),59.6 (9.6)
dmagediag,NA,59.9 (9.9),NA (NA),68 (7.3),54.2 (7.1),56.1 (9.9),64.5 (9.4)
bmi,NA,31.2 (6.6),30.6 (6.4),28.9 (3.6),36.2 (6.7),31.6 (5.7),33.6 (6.2)
hba1c,NA,"5.6 (5.4, 5.9)","5.6 (5.3, 5.8)","5.9 (5.6, 6.2)","5.9 (5.6, 6.2)","6 (5.6, 8.6)","5.9 (5.6, 6.3)"
homa2b,NA,"130.3 (98.5, 174.2)","129.5 (96.7, 175)","111.6 (87.5, 140.2)","139.1 (112.7, 173.8)","130.2 (85.4, 168)","209.9 (171, 255.8)"
homa2ir,NA,"2.2 (1.4, 3.4)","2 (1.3, 3.2)","2.1 (1.4, 3)","3 (2.1, 4.1)","2.7 (1.8, 4)","5.6 (3.6, 7.1)"
sbp,NA,119.9 (17.5),119.1 (18.1),124.5 (16),121.3 (14.5),122.5 (18.1),124.8 (15.7)
dbp,NA,75.1 (12.5),74.7 (13.1),74.3 (9.3),77.5 (10.1),78.4 (14.2),74.8 (10.1)
ldlc,NA,114.8 (31.9),114.1 (31.6),117.2 (33),120.1 (32.6),107.9 (36.1),111 (32.2)
hdlc,NA,52.4 (14.8),53.6 (15),50.5 (13.2),45.7 (12),39.9 (10.9),45.6 (13)
insulinf,NA,24.4 (18.1),23.1 (18),20.7 (11.7),29.2 (14.8),30.7 (22.2),55 (27)
glucosef,NA,100.5 (11.5),98.3 (10.5),107.8 (11),109 (11.7),111.1 (19.3),105.1 (11.9)
egfr,NA,83.6 (21.3),83.5 (21.2),80.5 (21.3),99.4 (19.2),91 (26.6),72.2 (16.9)
tgl,NA,121.9 (62.5),116.9 (60.1),132.8 (63.1),144.8 (68.8),165.8 (80.8),153 (71.1)
tg_hdl,NA,2.7 (1.9),2.5 (1.8),3 (2),3.5 (2.3),4.7 (3.1),3.8 (2.5)
female,NA,73274 (63.6%),56773 (63.1%),5496 (57.2%),9053 (72.7%),153 (26.8%),1799 (56%)
study,cardia,6065 (8.3%),5828 (10.3%),34 (0.6%),191 (2.1%),12 (7.8%),NA
study,dppos,49103 (67%),34356 (60.5%),5054 (92%),8524 (94.2%),77 (50.3%),1092 (60.7%)
study,jhs,3881 (5.3%),3422 (6%),146 (2.7%),286 (3.2%),24 (15.7%),3 (0.2%)
study,mesa,14225 (19.4%),13167 (23.2%),262 (4.8%),52 (0.6%),40 (26.1%),704 (39.1%)
race,Hispanic,10614 (14.5%),7938 (14%),826 (15%),1364 (15.1%),89 (58.2%),397 (22.1%)
race,NH Black,19130 (26.1%),14819 (26.1%),1179 (21.5%),2680 (29.6%),51 (33.3%),401 (22.3%)
race,NH Other,2561 (3.5%),1739 (3.1%),391 (7.1%),374 (4.1%),NA,57 (3.2%)
race,NH White,39295 (53.6%),30786 (54.2%),3024 (55%),4631 (51.2%),9 (5.9%),845 (47%)
race,Other,1674 (2.3%),1491 (2.6%),76 (1.4%),4 (0%),4 (2.6%),99 (5.5%)
