variable,group,Total,NOT2D,MARD,MOD,SIDD,SIRD
age,NA,53 (11),53.3 (11.1),59.4 (8),45.6 (6.5),49.4 (11.7),58.1 (9.7)
dmagediag,NA,59 (10.6),NA (NA),67.2 (8.1),52.6 (7),56.9 (11.5),66.3 (9.7)
bmi,NA,28.7 (6),28.4 (5.8),27.9 (3.9),35.7 (7.3),33.4 (6.2),31.2 (5.2)
hba1c,NA,"5.5 (5.2, 5.8)","5.4 (5.2, 5.7)","5.9 (5.6, 6.2)","5.9 (5.6, 6.2)","5.8 (5.5, 6)","5.8 (5.5, 6.1)"
homa2b,NA,"118.5 (95.3, 147.3)","117 (94.5, 144.6)","123.2 (96.2, 164.1)","152.5 (120.7, 191.8)","145.1 (120, 173.3)","199.4 (199.4, 199.4)"
homa2ir,NA,"1.4 (1, 1.9)","1.3 (1, 1.8)","1.7 (1.2, 2.2)","2.3 (1.8, 3.2)","2.1 (1.5, 2.6)","2.6 (2.6, 2.6)"
sbp,NA,118.7 (18.4),118.1 (18.3),126.9 (20.4),123 (15.8),131.1 (20.2),126.5 (17.7)
dbp,NA,73.2 (12.2),72.9 (12.2),75.8 (12.1),79.5 (12),76.8 (12.6),72.6 (10.3)
ldlc,NA,118 (32.6),116.8 (32.2),126.6 (33.7),125.2 (33.6),113.3 (32.1),116.5 (33)
hdlc,NA,51.8 (14.8),52.9 (15.1),48.5 (12.4),44.9 (11),42.7 (10.1),46.8 (13.8)
insulinf,NA,18.5 (12.2),16.4 (10.6),20.5 (11.6),27.5 (13.7),24.8 (12.8),42.1 (21.5)
glucosef,NA,94.4 (10.5),92.5 (9.6),105.4 (9.7),104.9 (9.7),99.7 (10.4),100.3 (8.8)
egfr_ckdepi_2021,NA,93.4 (16.3),92.7 (16.1),89.8 (15.2),98.6 (16.1),86.7 (23.1),99.7 (15.3)
tgl,NA,120.6 (64.8),115.6 (62.7),144.8 (68.5),144.4 (68.9),150.5 (74.9),155.4 (69.9)
tg_hdl,NA,2.7 (2),2.5 (1.9),3.3 (2.1),3.5 (2.2),3.9 (2.6),3.8 (2.5)
fu_time,NA,"8 (6, 9)","8 (7, 9)","8 (5.5, 9.5)","6.3 (4.5, 9)","8 (6.5, 8)","8 (7, 8)"
visit_number,NA,"4 (3, 4)","4 (3, 4)","13 (4, 21)","12 (4, 19)","3.5 (3, 4)","4 (4, 7)"
female,NA,9661 (59.3%),8092 (58.4%),456 (54.2%),844 (72.2%),28 (39.3%),241 (58.1%)
med_bp_use,NA,9661 (43.8%),8092 (47.9%),456 (20.8%),844 (19.1%),28 (53.6%),241 (33.2%)
med_dep_use,NA,9661 (26.3%),8092 (29.7%),456 (4.2%),844 (10.9%),28 (14.3%),241 (8.3%)
med_chol_use,NA,9661 (36.1%),8092 (39.6%),456 (15.8%),844 (17.3%),28 (39.3%),241 (23.7%)
study,cardia,2420 (25%),2318 (28.6%),15 (3.3%),82 (9.7%),5 (17.9%),NA
study,dppos,2294 (23.7%),1281 (15.8%),318 (69.7%),629 (74.5%),4 (14.3%),62 (25.7%)
study,jhs,1367 (14.1%),1180 (14.6%),57 (12.5%),120 (14.2%),9 (32.1%),1 (0.4%)
study,mesa,3580 (37.1%),3313 (40.9%),66 (14.5%),13 (1.5%),10 (35.7%),178 (73.9%)
race,Hispanic,1111 (11.5%),883 (10.9%),52 (11.4%),105 (12.4%),8 (28.6%),63 (26.1%)
race,NH Black,3577 (37%),2982 (36.9%),156 (34.2%),354 (41.9%),16 (57.1%),69 (28.6%)
race,NH Other,113 (1.2%),62 (0.8%),22 (4.8%),26 (3.1%),NA,3 (1.2%)
race,NH White,4439 (45.9%),3790 (46.8%),207 (45.4%),358 (42.4%),3 (10.7%),81 (33.6%)
race,Other,421 (4.4%),375 (4.6%),19 (4.2%),1 (0.1%),1 (3.6%),25 (10.4%)
smoking,Current,610 (6.3%),552 (6.8%),18 (3.9%),11 (1.3%),3 (10.7%),26 (10.8%)
smoking,Former,1754 (18.2%),1560 (19.3%),63 (13.8%),65 (7.7%),1 (3.6%),65 (27%)
smoking,Never,7297 (75.5%),5980 (73.9%),375 (82.2%),768 (91%),24 (85.7%),150 (62.2%)
