variable,group,Total,NOT2D,MARD,MOD,SIDD,SIRD
age,NA,60.9 (11.5),61.2 (11.6),67.2 (8.1),52.6 (7),56.9 (11.5),66.3 (9.7)
dmagediag,NA,59 (10.6),NA (NA),67.2 (8.1),52.6 (7),56.9 (11.5),66.3 (9.7)
bmi,NA,30.2 (6.7),29.4 (6.3),28.8 (3.6),37.8 (6.9),34.1 (7.3),33.2 (6.1)
hba1c,NA,"5.7 (5.4, 6)","5.6 (5.3, 5.8)","6.1 (5.7, 6.5)","6.3 (5.9, 6.6)","9.7 (8.9, 10.9)","6.5 (6.1, 6.7)"
homa2b,NA,"142.7 (91.9, 231.9)","144.9 (90.8, 240.8)","109.5 (80.6, 139.1)","132.6 (102, 169.4)","60.5 (24.9, 79.4)","249.8 (203.2, 299)"
homa2ir,NA,"2.5 (1.2, 4.6)","2.2 (1.1, 4.4)","2.4 (1.6, 3.7)","3.8 (2.6, 5.2)","5.9 (2.5, 8)","7.2 (6.9, 7.4)"
sbp,NA,116.4 (23.2),115.1 (23.8),124.5 (18.3),122 (17.3),120.3 (23.9),124.4 (18.6)
dbp,NA,78.4 (18.9),78.7 (19.7),73.6 (11.8),80.2 (14.5),80.5 (20.2),70.1 (10.6)
ldlc,NA,112.1 (32.5),112.1 (32.2),110.6 (33.8),115.4 (33.9),109.7 (35),101.2 (33.7)
hdlc,NA,56.2 (16.2),57.7 (16.3),52.1 (13.9),46.2 (11.4),42.5 (14),47.8 (13.3)
insulinf,NA,30.7 (25.8),28.9 (25.6),24.1 (12.9),35.8 (17.4),44.1 (31.4),82.9 (17.1)
glucosef,NA,98.8 (14.1),95 (9.5),116 (16.2),121.1 (15.2),146.8 (8.6),113.7 (18.2)
egfr_ckdepi_2021,NA,86.8 (17),86 (16.8),85.2 (15.5),97.7 (14.7),98.1 (18.2),82.4 (18.6)
tgl,NA,110.1 (56.6),104.9 (53.5),127.4 (61.3),141.8 (64.5),179.1 (82),138.6 (63.7)
tg_hdl,NA,2.3 (1.7),2.1 (1.5),2.7 (1.8),3.4 (2.1),4.7 (2.7),3.3 (2.2)
female,NA,9661 (59.3%),8092 (58.4%),456 (54.2%),844 (72.2%),28 (39.3%),241 (58.1%)
med_bp_use,NA,9661 (47.8%),8092 (52.5%),456 (21.5%),844 (15.3%),28 (60.7%),241 (50.2%)
med_dep_use,NA,9661 (26.7%),8092 (30.3%),456 (4.4%),844 (10%),28 (17.9%),241 (8.3%)
med_chol_use,NA,9661 (40.9%),8092 (44.9%),456 (16.2%),844 (16%),28 (42.9%),241 (37.8%)
study,cardia,2420 (25%),2318 (28.6%),15 (3.3%),82 (9.7%),5 (17.9%),NA
study,dppos,2294 (23.7%),1281 (15.8%),318 (69.7%),629 (74.5%),4 (14.3%),62 (25.7%)
study,jhs,1367 (14.1%),1180 (14.6%),57 (12.5%),120 (14.2%),9 (32.1%),1 (0.4%)
study,mesa,3580 (37.1%),3313 (40.9%),66 (14.5%),13 (1.5%),10 (35.7%),178 (73.9%)
race,Hispanic,1111 (11.5%),883 (10.9%),52 (11.4%),105 (12.4%),8 (28.6%),63 (26.1%)
race,NH Black,3577 (37%),2982 (36.9%),156 (34.2%),354 (41.9%),16 (57.1%),69 (28.6%)
race,NH Other,113 (1.2%),62 (0.8%),22 (4.8%),26 (3.1%),NA,3 (1.2%)
race,NH White,4438 (45.9%),3789 (46.8%),207 (45.4%),358 (42.4%),3 (10.7%),81 (33.6%)
race,Other,422 (4.4%),376 (4.6%),19 (4.2%),1 (0.1%),1 (3.6%),25 (10.4%)
smoking,Current,269 (2.8%),244 (3%),6 (1.3%),NA,3 (10.7%),16 (6.6%)
smoking,Former,1680 (17.4%),1564 (19.3%),34 (7.5%),8 (0.9%),1 (3.6%),73 (30.3%)
smoking,Never,7712 (79.8%),6284 (77.7%),416 (91.2%),836 (99.1%),24 (85.7%),152 (63.1%)
