subtype,variable,est,value,type,group
MARD,age,mean,59.354166666666664,Continuous,NA
MARD,age,sd,8.043706444790446,Continuous,NA
MARD,age,median,59,Continuous,NA
MARD,age,q25,52,Continuous,NA
MARD,age,q75,67,Continuous,NA
MARD,age,min,37,Continuous,NA
MARD,age,max,93,Continuous,NA
MARD,age,freq,456,Continuous,NA
MARD,age,missing,0,Continuous,NA
MARD,dmagediag,mean,67.22224224945927,Continuous,NA
MARD,dmagediag,sd,8.076120216272155,Continuous,NA
MARD,dmagediag,median,67.02465753424657,Continuous,NA
MARD,dmagediag,q25,61.02465753424657,Continuous,NA
MARD,dmagediag,q75,72.64657534246575,Continuous,NA
MARD,dmagediag,min,48,Continuous,NA
MARD,dmagediag,max,100,Continuous,NA
MARD,dmagediag,freq,456,Continuous,NA
MARD,dmagediag,missing,0,Continuous,NA
MARD,bmi,mean,27.85928549056651,Continuous,NA
MARD,bmi,sd,3.859719129332694,Continuous,NA
MARD,bmi,median,27.546756460708348,Continuous,NA
MARD,bmi,q25,25.5818749335,Continuous,NA
MARD,bmi,q75,30.367879399988155,Continuous,NA
MARD,bmi,min,18.746528117,Continuous,NA
MARD,bmi,max,42.53076894124733,Continuous,NA
MARD,bmi,freq,139,Continuous,NA
MARD,bmi,missing,317,Continuous,NA
MARD,hba1c,mean,5.913377192982456,Continuous,NA
MARD,hba1c,sd,0.453189912700186,Continuous,NA
MARD,hba1c,median,5.9,Continuous,NA
MARD,hba1c,q25,5.6,Continuous,NA
MARD,hba1c,q75,6.2,Continuous,NA
MARD,hba1c,min,4.5,Continuous,NA
MARD,hba1c,max,7.4,Continuous,NA
MARD,hba1c,freq,456,Continuous,NA
MARD,hba1c,missing,0,Continuous,NA
MARD,homa2b,mean,133.13285714285715,Continuous,NA
MARD,homa2b,sd,47.292861003150925,Continuous,NA
MARD,homa2b,median,123.25,Continuous,NA
MARD,homa2b,q25,96.225,Continuous,NA
MARD,homa2b,q75,164.14999999999998,Continuous,NA
MARD,homa2b,min,41.7,Continuous,NA
MARD,homa2b,max,248.1,Continuous,NA
MARD,homa2b,freq,70,Continuous,NA
MARD,homa2b,missing,386,Continuous,NA
MARD,homa2ir,mean,1.907256517268204,Continuous,NA
MARD,homa2ir,sd,0.9125215783493622,Continuous,NA
MARD,homa2ir,median,1.7217875770507347,Continuous,NA
MARD,homa2ir,q25,1.2461190289155724,Continuous,NA
MARD,homa2ir,q75,2.2397169834823987,Continuous,NA
MARD,homa2ir,min,0.42881646655231564,Continuous,NA
MARD,homa2ir,max,4.524886877828054,Continuous,NA
MARD,homa2ir,freq,70,Continuous,NA
MARD,homa2ir,missing,386,Continuous,NA
MARD,sbp,mean,126.92110647482015,Continuous,NA
MARD,sbp,sd,20.362549970947196,Continuous,NA
MARD,sbp,median,125.6637,Continuous,NA
MARD,sbp,q25,112,Continuous,NA
MARD,sbp,q75,139.4172,Continuous,NA
MARD,sbp,min,78.66666666666667,Continuous,NA
MARD,sbp,max,191.6805,Continuous,NA
MARD,sbp,freq,139,Continuous,NA
MARD,sbp,missing,317,Continuous,NA
MARD,dbp,mean,75.75407865707434,Continuous,NA
MARD,dbp,sd,12.117251790345373,Continuous,NA
MARD,dbp,median,74.66666666666667,Continuous,NA
MARD,dbp,q25,68,Continuous,NA
MARD,dbp,q75,83.34101666666666,Continuous,NA
MARD,dbp,min,43,Continuous,NA
MARD,dbp,max,130,Continuous,NA
MARD,dbp,freq,139,Continuous,NA
MARD,dbp,missing,317,Continuous,NA
MARD,ldlc,mean,126.64966740576497,Continuous,NA
MARD,ldlc,sd,33.70086208755929,Continuous,NA
MARD,ldlc,median,127,Continuous,NA
MARD,ldlc,q25,105,Continuous,NA
MARD,ldlc,q75,146,Continuous,NA
MARD,ldlc,min,32,Continuous,NA
MARD,ldlc,max,234,Continuous,NA
MARD,ldlc,freq,451,Continuous,NA
MARD,ldlc,missing,5,Continuous,NA
MARD,hdlc,mean,48.48344370860927,Continuous,NA
MARD,hdlc,sd,12.419219139858896,Continuous,NA
MARD,hdlc,median,46,Continuous,NA
MARD,hdlc,q25,40,Continuous,NA
MARD,hdlc,q75,56,Continuous,NA
MARD,hdlc,min,22,Continuous,NA
MARD,hdlc,max,100,Continuous,NA
MARD,hdlc,freq,453,Continuous,NA
