term,MARD,MOD,SIDD,SIRD
(Intercept),"11.17 (5.07, 24.61)",NA,NA,NA
study_aric,"0.06 (0.04, 0.08)",NA,NA,NA
study_cardia,"0.03 (0.02, 0.05)",NA,NA,NA
study_dppos,"0.08 (0.06, 0.11)",NA,NA,NA
study_jhs,"0.19 (0.1, 0.35)",NA,NA,NA
race_nhwhi,"0.75 (0.62, 0.92)",NA,NA,NA
race_nhbla,"0.63 (0.51, 0.77)",NA,NA,NA
race_nhoth,"1 (0.78, 1.28)",NA,NA,NA
female,"1.85 (1.58, 2.16)",NA,NA,NA
serumcreatinine,"1.06 (0.94, 1.2)",NA,NA,NA
uric_acid,"1.03 (0.98, 1.08)",NA,NA,NA
age,"0.98 (0.97, 0.99)",NA,NA,NA
bmi,"1.02 (1.01, 1.03)",NA,NA,NA
hba1c,"1.2 (1.11, 1.3)",NA,NA,NA
homa2ir,"0.98 (0.95, 1.01)",NA,NA,NA
medial,"0.99 (0.99, 1)",NA,NA,NA
(Intercept),NA,"10.34 (4.74, 22.53)",NA,NA
study_aric,NA,"0.17 (0.12, 0.23)",NA,NA
study_cardia,NA,"0.28 (0.2, 0.41)",NA,NA
study_dppos,NA,"0.06 (0.04, 0.08)",NA,NA
study_jhs,NA,"0.08 (0.04, 0.15)",NA,NA
race_nhwhi,NA,"1.49 (1.22, 1.8)",NA,NA
race_nhbla,NA,"1.74 (1.42, 2.14)",NA,NA
race_nhoth,NA,"1.11 (0.86, 1.43)",NA,NA
female,NA,"0.74 (0.63, 0.86)",NA,NA
serumcreatinine,NA,"0.98 (0.87, 1.1)",NA,NA
uric_acid,NA,"0.98 (0.93, 1.02)",NA,NA
age,NA,"1.01 (1, 1.02)",NA,NA
bmi,NA,"0.98 (0.97, 0.99)",NA,NA
hba1c,NA,"0.87 (0.81, 0.94)",NA,NA
homa2ir,NA,"0.98 (0.96, 1.01)",NA,NA
medial,NA,"1 (0.99, 1.01)",NA,NA
(Intercept),NA,NA,"2.32 (1.05, 5.12)",NA
study_aric,NA,NA,"0.15 (0.11, 0.21)",NA
study_cardia,NA,NA,"0.14 (0.1, 0.21)",NA
study_dppos,NA,NA,"0.17 (0.12, 0.24)",NA
study_jhs,NA,NA,"0.33 (0.18, 0.61)",NA
race_nhwhi,NA,NA,"1.06 (0.87, 1.3)",NA
race_nhbla,NA,NA,"0.97 (0.79, 1.19)",NA
race_nhoth,NA,NA,"1.02 (0.79, 1.32)",NA
female,NA,NA,"1.08 (0.92, 1.27)",NA
serumcreatinine,NA,NA,"0.89 (0.78, 1)",NA
uric_acid,NA,NA,"1.1 (1.05, 1.16)",NA
age,NA,NA,"1 (0.99, 1)",NA
bmi,NA,NA,"0.99 (0.98, 1)",NA
hba1c,NA,NA,"1.2 (1.11, 1.29)",NA
homa2ir,NA,NA,"0.98 (0.95, 1.01)",NA
medial,NA,NA,"1.01 (1, 1.02)",NA
(Intercept),NA,NA,NA,"0 (0, 0.01)"
study_aric,NA,NA,NA,"6.45 (4.69, 8.87)"
study_cardia,NA,NA,NA,"10.27 (7.14, 14.78)"
study_dppos,NA,NA,NA,"35.75 (25.58, 49.96)"
study_jhs,NA,NA,NA,"34.88 (18.94, 64.24)"
race_nhwhi,NA,NA,NA,"1.24 (1.02, 1.52)"
race_nhbla,NA,NA,NA,"2.32 (1.88, 2.85)"
race_nhoth,NA,NA,NA,"1.47 (1.14, 1.89)"
female,NA,NA,NA,"1 (0.85, 1.17)"
serumcreatinine,NA,NA,NA,"0.84 (0.74, 0.95)"
uric_acid,NA,NA,NA,"1.13 (1.08, 1.19)"
age,NA,NA,NA,"1.01 (1.01, 1.02)"
bmi,NA,NA,NA,"1.01 (0.99, 1.02)"
hba1c,NA,NA,NA,"1.11 (1.03, 1.2)"
homa2ir,NA,NA,NA,"1.01 (0.99, 1.04)"
medial,NA,NA,NA,"1.01 (1, 1.02)"
