term,MARD,MOD,SIDD,SIRD
study_aric,"0 (0, 2.19051112417904e+128)",NA,NA,NA
study_cardia,"0 (0, 2.66923516080232e+127)",NA,NA,NA
study_dppos,"2.05 (1.87, 2.25)",NA,NA,NA
study_jhs,"4.61 (3.95, 5.38)",NA,NA,NA
study_mesa,"NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
serumcreatinine,"0.91 (0.86, 0.96)",NA,NA,NA
race_nhwhi,"0.98 (0.93, 1.02)",NA,NA,NA
race_nhbla,"1.21 (1.15, 1.28)",NA,NA,NA
race_nhoth,"1.03 (0.97, 1.1)",NA,NA,NA
race_hisp,"NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
female,"0.88 (0.85, 0.91)",NA,NA,NA
uric_acid,"1.03 (1.02, 1.05)",NA,NA,NA
hba1c,"0.94 (0.92, 0.97)",NA,NA,NA
bmi,"0.93 (0.92, 0.94)",NA,NA,NA
hc,"0.99 (0.99, 1)",NA,NA,NA
age,"1.04 (1.04, 1.04)",NA,NA,NA
homa2ir,"0.9 (0.89, 0.92)",NA,NA,NA
medial,"1.01 (1.01, 1.01)",NA,NA,NA
study_aric,NA,"0 (0, 6.46140071227812e+90)",NA,NA
study_cardia,NA,"0 (0, 3.49880491435075e+91)",NA,NA
study_dppos,NA,"4.42 (3.81, 5.14)",NA,NA
study_jhs,NA,"6.35 (5.35, 7.53)",NA,NA
serumcreatinine,NA,"0.99 (0.96, 1.02)",NA,NA
race_nhwhi,NA,"1.11 (1.06, 1.16)",NA,NA
race_nhbla,NA,"1.19 (1.14, 1.25)",NA,NA
race_nhoth,NA,"1.15 (1.07, 1.24)",NA,NA
female,NA,"1.21 (1.17, 1.26)",NA,NA
uric_acid,NA,"1.04 (1.03, 1.05)",NA,NA
hba1c,NA,"1.27 (1.25, 1.29)",NA,NA
bmi,NA,"1.04 (1.04, 1.05)",NA,NA
hc,NA,"1 (1, 1.01)",NA,NA
age,NA,"0.95 (0.95, 0.95)",NA,NA
homa2ir,NA,"1 (1, 1.01)",NA,NA
medial,NA,"0.99 (0.99, 0.99)",NA,NA
study_aric,NA,NA,"0 (0, Inf)",NA
study_cardia,NA,NA,"0 (0, Inf)",NA
study_dppos,NA,NA,"0.05 (0.04, 0.07)",NA
study_jhs,NA,NA,"0.99 (0.69, 1.43)",NA
serumcreatinine,NA,NA,"1.05 (0.96, 1.16)",NA
race_nhwhi,NA,NA,"0.46 (0.37, 0.58)",NA
race_nhbla,NA,NA,"0.74 (0.6, 0.9)",NA
race_nhoth,NA,NA,"0.78 (0.62, 1)",NA
female,NA,NA,"0.44 (0.37, 0.53)",NA
uric_acid,NA,NA,"0.98 (0.93, 1.04)",NA
hba1c,NA,NA,"1.71 (1.65, 1.78)",NA
bmi,NA,NA,"1.03 (1, 1.06)",NA
hc,NA,NA,"1.01 (0.99, 1.02)",NA
age,NA,NA,"0.96 (0.95, 0.97)",NA
homa2ir,NA,NA,"0.94 (0.9, 0.98)",NA
medial,NA,NA,"1 (0.99, 1.01)",NA
study_aric,NA,NA,NA,"0 (0, 8.7104297794403e+186)"
study_cardia,NA,NA,NA,"0 (0, 4.49628002406416e+186)"
study_dppos,NA,NA,NA,"0.04 (0.04, 0.04)"
study_jhs,NA,NA,NA,"0.02 (0.01, 0.04)"
serumcreatinine,NA,NA,NA,"1.04 (0.94, 1.15)"
race_nhwhi,NA,NA,NA,"0.98 (0.9, 1.07)"
race_nhbla,NA,NA,NA,"0.74 (0.68, 0.82)"
race_nhoth,NA,NA,NA,"0.89 (0.79, 1.01)"
female,NA,NA,NA,"0.86 (0.8, 0.92)"
uric_acid,NA,NA,NA,"1.07 (1.04, 1.09)"
hba1c,NA,NA,NA,"1.06 (1.02, 1.1)"
bmi,NA,NA,NA,"1.03 (1.02, 1.04)"
hc,NA,NA,NA,"1.01 (1, 1.01)"
age,NA,NA,NA,"1.01 (1.01, 1.01)"
homa2ir,NA,NA,NA,"1.01 (1.01, 1.02)"
medial,NA,NA,NA,"0.99 (0.99, 1)"
