subtype,variable,est,value,type,group
MARD,age,mean,64.21733989945744,Continuous,NA
MARD,age,sd,8.336783352445265,Continuous,NA
MARD,age,median,64.14308219178082,Continuous,NA
MARD,age,q25,58,Continuous,NA
MARD,age,q75,70,Continuous,NA
MARD,age,min,34,Continuous,NA
MARD,age,max,100,Continuous,NA
MARD,age,freq,7014,Continuous,NA
MARD,age,missing,0,Continuous,NA
MARD,dmagediag,mean,69.37762166469409,Continuous,NA
MARD,dmagediag,sd,7.638965425075398,Continuous,NA
MARD,dmagediag,median,70,Continuous,NA
MARD,dmagediag,q25,64,Continuous,NA
MARD,dmagediag,q75,74.98082191780821,Continuous,NA
MARD,dmagediag,min,48,Continuous,NA
MARD,dmagediag,max,100,Continuous,NA
MARD,dmagediag,freq,7014,Continuous,NA
MARD,dmagediag,missing,0,Continuous,NA
MARD,bmi,mean,28.948106221406558,Continuous,NA
MARD,bmi,sd,3.9182159393663327,Continuous,NA
MARD,bmi,median,28.446671895301773,Continuous,NA
MARD,bmi,q25,26.201043925705065,Continuous,NA
MARD,bmi,q75,31.345402698838555,Continuous,NA
MARD,bmi,min,16.423650056,Continuous,NA
MARD,bmi,max,74.24056957426781,Continuous,NA
MARD,bmi,freq,7011,Continuous,NA
MARD,bmi,missing,3,Continuous,NA
MARD,hba1c,mean,5.946814697330161,Continuous,NA
MARD,hba1c,sd,0.5115894077596754,Continuous,NA
MARD,hba1c,median,5.9,Continuous,NA
MARD,hba1c,q25,5.6,Continuous,NA
MARD,hba1c,q75,6.2,Continuous,NA
MARD,hba1c,min,4.2,Continuous,NA
MARD,hba1c,max,8.1,Continuous,NA
MARD,hba1c,freq,3783,Continuous,NA
MARD,hba1c,missing,3231,Continuous,NA
MARD,homa2b,mean,106.13115452041072,Continuous,NA
MARD,homa2b,sd,43.48662281463185,Continuous,NA
MARD,homa2b,median,99.9,Continuous,NA
MARD,homa2b,q25,74.9,Continuous,NA
MARD,homa2b,q75,129.2,Continuous,NA
MARD,homa2b,min,13.1,Continuous,NA
MARD,homa2b,max,407.1,Continuous,NA
MARD,homa2b,freq,3993,Continuous,NA
MARD,homa2b,missing,3021,Continuous,NA
MARD,homa2ir,mean,2.106854439970432,Continuous,NA
MARD,homa2ir,sd,1.2137488899634228,Continuous,NA
MARD,homa2ir,median,1.8315018315018314,Continuous,NA
MARD,homa2ir,q25,1.2315270935960592,Continuous,NA
MARD,homa2ir,q75,2.680965147453083,Continuous,NA
MARD,homa2ir,min,0.33500837520938026,Continuous,NA
MARD,homa2ir,max,7.575757575757576,Continuous,NA
MARD,homa2ir,freq,3993,Continuous,NA
MARD,homa2ir,missing,3021,Continuous,NA
MARD,sbp,mean,127.47456948289805,Continuous,NA
MARD,sbp,sd,18.08083196914954,Continuous,NA
MARD,sbp,median,125,Continuous,NA
MARD,sbp,q25,115,Continuous,NA
MARD,sbp,q75,138,Continuous,NA
MARD,sbp,min,60.666666666666664,Continuous,NA
MARD,sbp,max,210,Continuous,NA
MARD,sbp,freq,7007,Continuous,NA
MARD,sbp,missing,7,Continuous,NA
MARD,dbp,mean,75.74520844514225,Continuous,NA
MARD,dbp,sd,12.256335014811187,Continuous,NA
MARD,dbp,median,74,Continuous,NA
MARD,dbp,q25,68,Continuous,NA
MARD,dbp,q75,82,Continuous,NA
MARD,dbp,min,40.333333333333336,Continuous,NA
MARD,dbp,max,146.66666666666666,Continuous,NA
MARD,dbp,freq,7006,Continuous,NA
MARD,dbp,missing,8,Continuous,NA
MARD,ldlc,mean,115.17336458555295,Continuous,NA
MARD,ldlc,sd,33.713065074673274,Continuous,NA
MARD,ldlc,median,114,Continuous,NA
MARD,ldlc,q25,92,Continuous,NA
MARD,ldlc,q75,137,Continuous,NA
MARD,ldlc,min,12,Continuous,NA
MARD,ldlc,max,259,Continuous,NA
MARD,ldlc,freq,4693,Continuous,NA
MARD,ldlc,missing,2321,Continuous,NA
MARD,hdlc,mean,50.07312925170068,Continuous,NA
MARD,hdlc,sd,13.792622713683226,Continuous,NA
MARD,hdlc,median,48,Continuous,NA
MARD,hdlc,q25,40,Continuous,NA
MARD,hdlc,q75,58,Continuous,NA
MARD,hdlc,min,16,Continuous,NA
MARD,hdlc,max,159,Continuous,NA
MARD,hdlc,freq,4704,Continuous,NA
MARD,hdlc,missing,2310,Continuous,NA
MARD,insulinf,mean,18.424830939408942,Continuous,NA
MARD,insulinf,sd,11.418638249349087,Continuous,NA
MARD,insulinf,median,15.9,Continuous,NA
MARD,insulinf,q25,10.654166666666676,Continuous,NA
MARD,insulinf,q75,23.2,Continuous,NA
MARD,insulinf,min,0.589,Continuous,NA
MARD,insulinf,max,135.8,Continuous,NA
MARD,insulinf,freq,4038,Continuous,NA
MARD,insulinf,missing,2976,Continuous,NA
MARD,glucosef,mean,108.9217535272099,Continuous,NA
MARD,glucosef,sd,13.999474036412577,Continuous,NA
MARD,glucosef,median,107,Continuous,NA
MARD,glucosef,q25,100,Continuous,NA
MARD,glucosef,q75,116,Continuous,NA
MARD,glucosef,min,60,Continuous,NA
MARD,glucosef,max,242,Continuous,NA
MARD,glucosef,freq,6946,Continuous,NA
MARD,glucosef,missing,68,Continuous,NA
MARD,egfr,mean,80.0854971380916,Continuous,NA
MARD,egfr,sd,19.599013747953936,Continuous,NA
MARD,egfr,median,77.987339514,Continuous,NA
MARD,egfr,q25,69.39827679,Continuous,NA
MARD,egfr,q75,91.692352459,Continuous,NA
MARD,egfr,min,17.896819674,Continuous,NA
MARD,egfr,max,155.89382574047698,Continuous,NA
MARD,egfr,freq,317,Continuous,NA
MARD,egfr,missing,6697,Continuous,NA
MARD,tgl,mean,137.2293792517007,Continuous,NA
MARD,tgl,sd,76.70885376379542,Continuous,NA
MARD,tgl,median,120,Continuous,NA
MARD,tgl,q25,87.75,Continuous,NA
MARD,tgl,q75,166,Continuous,NA
MARD,tgl,min,25,Continuous,NA
MARD,tgl,max,1182,Continuous,NA
MARD,tgl,freq,4704,Continuous,NA
MARD,tgl,missing,2310,Continuous,NA
MARD,tg_hdl,mean,3.10526908900708,Continuous,NA
MARD,tg_hdl,sd,2.3826565535000466,Continuous,NA
MARD,tg_hdl,median,2.464700996677741,Continuous,NA
MARD,tg_hdl,q25,1.6268382352941178,Continuous,NA
MARD,tg_hdl,q75,3.7873952288845905,Continuous,NA
MARD,tg_hdl,min,0.3333333333333333,Continuous,NA
MARD,tg_hdl,max,33.77142857142857,Continuous,NA
MARD,tg_hdl,freq,4704,Continuous,NA
MARD,tg_hdl,missing,2310,Continuous,NA
