subtype,variable,est,value,type,group
MARD,age,mean,63.50356880331297,Continuous,NA
MARD,age,sd,7.738485220032077,Continuous,NA
MARD,age,median,63.97,Continuous,NA
MARD,age,q25,57.98,Continuous,NA
MARD,age,q75,69.04,Continuous,NA
MARD,age,min,37.5,Continuous,NA
MARD,age,max,100,Continuous,NA
MARD,age,freq,5587,Continuous,NA
MARD,age,missing,0,Continuous,NA
MARD,dmagediag,mean,68.1639240801175,Continuous,NA
MARD,dmagediag,sd,7.346790511743636,Continuous,NA
MARD,dmagediag,median,68.06027397260274,Continuous,NA
MARD,dmagediag,q25,62.48219178082192,Continuous,NA
MARD,dmagediag,q75,73.02739726027397,Continuous,NA
MARD,dmagediag,min,48.52602739726027,Continuous,NA
MARD,dmagediag,max,100,Continuous,NA
MARD,dmagediag,freq,5587,Continuous,NA
MARD,dmagediag,missing,0,Continuous,NA
MARD,bmi,mean,28.82993053990169,Continuous,NA
MARD,bmi,sd,3.658253573178707,Continuous,NA
MARD,bmi,median,28.312241735537192,Continuous,NA
MARD,bmi,q25,26.233652775517502,Continuous,NA
MARD,bmi,q75,31.15269114630871,Continuous,NA
MARD,bmi,min,18.423446531,Continuous,NA
MARD,bmi,max,74.24056957426781,Continuous,NA
MARD,bmi,freq,5586,Continuous,NA
MARD,bmi,missing,1,Continuous,NA
MARD,hba1c,mean,5.903353956366004,Continuous,NA
MARD,hba1c,sd,0.4744533814361177,Continuous,NA
MARD,hba1c,median,5.9,Continuous,NA
MARD,hba1c,q25,5.6,Continuous,NA
MARD,hba1c,q75,6.2,Continuous,NA
MARD,hba1c,min,4,Continuous,NA
MARD,hba1c,max,7.9,Continuous,NA
MARD,hba1c,freq,3071,Continuous,NA
MARD,hba1c,missing,2516,Continuous,NA
MARD,homa2b,mean,116.84909021986353,Continuous,NA
MARD,homa2b,sd,43.53678968911266,Continuous,NA
MARD,homa2b,median,111.1,Continuous,NA
MARD,homa2b,q25,86.4,Continuous,NA
MARD,homa2b,q75,139.375,Continuous,NA
MARD,homa2b,min,23.4,Continuous,NA
MARD,homa2b,max,407.1,Continuous,NA
MARD,homa2b,freq,2638,Continuous,NA
MARD,homa2b,missing,2949,Continuous,NA
MARD,homa2ir,mean,2.324004971609371,Continuous,NA
MARD,homa2ir,sd,1.2627269129493843,Continuous,NA
MARD,homa2ir,median,2.055500629536678,Continuous,NA
